identifier;coord1_ICRS,J2000/2000_;MagB;MagV;MagR
* ksi02 CMa;06 35 03.3875525904 -22 57 53.263500084;4.49;4.5;nan
HD 47946;06 39 42.6605300136 -30 28 13.765907820;6.85;5.71;nan
HD 46936;06 34 35.3308813248 -32 42 58.510728000;5.526;5.61;nan
* 10 CMa;06 44 28.4671043496 -31 04 13.892357820;5.08;5.17;5.15
HD 47536;06 37 47.6181076691 -32 20 23.040481884;6.43;5.258;nan
HD 46815;06 33 49.4800601424 -36 13 55.295070384;6.82;5.405;nan
HD 47500;06 37 13.83509 -36 59 26.3440;5.607;5.717;nan
* nu. Pup;06 37 45.6713527 -43 11 45.360171;3.06;3.17;3.17
* psi07 Aur;06 50 45.9432814968 +41 46 52.429971900;6.244;4.975;nan
NGC 2281;06 48 21.8 +41 03 36;6.05;5.4;nan
* tet Gem;06 52 47.3388710 +33 57 40.517462;3.7;3.6;3.5
V* IS Gem;06 49 41.3134679544 +32 36 24.334958160;7.015;5.708;nan
* 37 Gem;06 55 18.6663587832 +25 22 32.503553004;6.343;5.748;nan
* 87 Gem;06 51 59.9861723112 +23 36 06.199162452;7.142;5.671;nan
* d Gem;06 51 33.0463828992 +21 45 40.123048212;5.264;5.259;nan
* 33 Gem;06 49 49.8362378064 +16 12 10.382708016;5.72;5.87;nan
* ksi Gem;06 45 17.3643205 +12 53 44.131127;3.79;3.36;2.97
* 35 Gem;06 50 25.4986536600 +13 24 47.443384116;7.016;5.672;nan
* e Gem;06 54 38.6381476771 +13 10 40.243144636;4.997;4.715;nan
* 16 Mon;06 46 32.4145190352 +08 35 13.767386136;5.76;5.92;nan
HD 50277;06 52 49.4708324568 +08 22 49.429526880;5.996;5.742;nan
* 17 Mon;06 47 19.8301708488 +08 02 14.122870224;6.17;4.77;3.74
* 18 Mon;06 47 51.6478856352 +02 24 43.835011128;5.58;4.47;3.68
HD 50747;06 54 24.6514829592 -01 07 37.009187292;5.597;5.435;nan
HD 49434;06 48 19.0662941232 -01 19 08.124232296;6.015;5.731;nan
HD 49643;06 49 16.4057835624 -02 16 19.370394984;5.644;5.75;nan
HD 49147;06 46 39.0161015760 -10 06 26.495075592;5.605;5.646;nan
HD 49331;06 47 37.2209781792 -08 59 54.609791028;6.86;5.062;nan
* tet CMa;06 54 11.3988612864 -12 02 19.061163780;5.51;4.08;2.95
HD 49048;06 45 59.3941106448 -14 47 46.064471028;5.358;5.298;nan
* 11 CMa;06 46 51.0923173488 -14 25 33.511738908;5.244;5.272;nan
HD 49980;06 50 21.7684047864 -17 05 04.388363808;7.188;5.771;nan
* iot CMa;06 56 08.2241266 -17 03 15.267468;4.297;4.385;6.4
HD 50644;06 53 18.8121844896 -19 01 57.699205248;5.91;5.648;nan
M 41;06 45 59.8 -20 42 58;4.89;4.5;nan
* pi. CMa;06 55 37.4304387192 -20 08 11.388856308;5.027;4.664;nan
* 17 CMa;06 55 02.7380042928 -20 24 17.557832160;5.833;5.792;nan
* 15 CMa;06 53 32.9071871 -20 13 27.317715;4.62;4.83;4.95
HD 51283;06 55 46.9280647944 -22 56 29.193346032;5.12;5.3;nan
* omi01 CMa;06 54 07.9522701192 -24 11 03.159501504;5.6;3.87;2.7
Cl Collinder 121;06 56 20.0 -24 43 48;3.02;2.6;nan
HD 49131;06 45 31.1887692456 -30 56 56.329692216;5.55;5.68;7.15
HD 49095;06 45 22.9403936275 -31 47 37.133210127;6.396;5.916;nan
* kap CMa;06 49 50.4593263 -32 30 30.522482;3.68;3.89;3.91
V* HZ CMa;06 50 23.3482557912 -31 42 21.808309320;5.829;5.747;nan
HD 50235;06 50 52.3516239000 -34 22 02.346072600;6.37;4.989;nan
HD 50445;06 51 42.4207334784 -36 13 48.979898580;6.12;5.94;nan
* x Pup;06 47 21.3992813088 -37 55 46.910018928;5.176;5.26;nan
HD 51000;06 57 00.5218308072 +33 40 51.743172648;6.806;5.927;nan
HD 53329;07 06 11.5917643416 +34 28 26.284245888;6.456;5.551;nan
HD 53686;07 07 22.3986015264 +34 00 33.439798512;7.44;5.93;nan
* ome Gem;07 02 24.7799925192 +24 12 55.606511880;6.136;5.181;nan
* zet Gem;07 04 06.5312384690 +20 34 13.074474962;4.58;3.79;nan
V* NP Gem;07 02 25.5338725944 +17 45 19.870531524;7.57;5.94;nan
HD 52609;07 02 33.2872887024 +16 40 28.002851220;7.485;5.848;nan
* 41 Gem;07 00 15.8233724160 +16 04 44.385187008;7.32;5.69;4.44
HD 52556;07 02 17.4939988560 +15 20 09.635363196;6.9;5.75;nan
HD 52976;07 03 51.5987183472 +12 35 39.273137700;7.559;5.985;nan
HD 52960;07 03 38.0718821136 +10 57 06.543534168;6.512;5.117;nan
HD 51104;06 56 25.8328341816 +09 57 23.665286016;5.794;5.897;nan
HD 52913;07 03 17.9142304872 +09 08 18.088217988;6.081;5.953;nan
HD 53510;07 05 39.0254714880 +09 11 08.846486736;7.3;5.78;nan
HD 51814;06 58 57.0243821928 +03 36 08.480590020;7.003;5.947;nan
HD 53208;07 04 05.2473368784 -05 19 26.310525492;6.892;5.602;nan
* 19 Mon;07 02 54.7766724 -04 14 21.237679;4.8;5;5.06
HD 52666;07 01 56.3836120368 -05 43 19.427271456;6.85;5.192;nan
HD 52312;07 00 23.7565066728 -08 24 24.546626892;5.864;5.939;nan
HD 53974;07 06 40.76672 -11 17 38.4396;5.44;5.39;6.8
* gam CMa;07 03 45.4930485 -15 37 59.829971;4;4.12;4.13
HD 54309;07 07 22.5873962184 -23 50 26.573827884;5.68;5.83;5.83
* omi02 CMa;07 03 01.4721150 -23 49 59.852308;2.94;3.02;3.01
HD 52018;06 58 35.8988362752 -25 24 50.953342860;5.42;5.583;nan
V* LS CMa;07 01 05.9462635320 -25 12 56.281710060;5.471;5.635;nan
HD 51733;06 57 33.9110232 -24 37 50.995377;5.82;5.46;nan
* eps CMa;06 58 37.54876 -28 58 19.5102;1.29;1.5;1.59
* sig CMa;07 01 43.1477846 -27 56 05.389774;5.2;3.47;2.15
* t Pup;06 58 25.0888739808 -34 06 42.084423864;4.908;5.068;nan
* D Pup;07 07 07.0777710552 -40 53 35.770233300;5.625;5.783;7.12
* C Pup;07 04 02.7926484400 -42 20 14.232086067;5.4;5.19;nan
HD 53705;07 03 57.3152216292 -43 36 28.925859669;5.94;5.28;5.05
* 64 Aur;07 18 02.2145047608 +40 53 00.217160340;6.04;5.87;nan
* 63 Aur;07 11 39.3265259952 +39 19 13.981218528;6.353;4.886;nan
* tau Gem;07 11 08.3703137689 +30 14 42.589571474;5.68;4.42;3.45
* 53 Gem;07 15 57.1671252720 +27 53 50.715517704;7.34;5.71;nan
* 47 Gem;07 11 23.0673239256 +26 51 23.720381136;5.86;5.75;nan
* 52 Gem;07 14 41.9782633320 +24 53 05.943460668;7.38;5.82;nan
* 48 Gem;07 12 26.3762241744 +24 07 42.938002164;6.21;5.85;nan
* lam Gem;07 18 05.5789195368 +16 32 25.389581244;3.674;3.559;nan
* 51 Gem;07 13 22.2758350560 +16 09 32.271188148;6.66;5;nan
* 45 Gem;07 08 22.0395145056 +15 55 50.435823072;6.507;5.476;nan
HD 55730;07 14 32.6208643272 +12 06 56.966505516;6.716;5.702;nan
HD 54079;07 07 49.4889933096 +07 28 16.373011404;6.915;5.739;nan
HD 56031;07 15 39.4294450080 +07 58 39.877367628;7.42;5.82;nan
HD 55751;07 14 20.0627366016 +03 06 41.102149896;6.561;5.343;nan
* del Mon;07 11 51.8607792 -00 29 33.970825;4.14;4.15;nan
* 21 Mon;07 11 23.6158572888 -00 18 06.945136848;5.715;5.428;nan
HD 55775;07 14 10.8500851992 -03 54 06.401226168;7.55;5.94;nan
* 20 Mon;07 10 13.6815026472 -04 14 13.585055244;5.95;4.92;4.13
HD 55832;07 14 15.5193344904 -09 56 51.118493424;7.418;5.882;nan
HD 56207;07 15 43.2416664048 -10 35 00.970306008;7.116;5.94;nan
HD 55589;07 13 07.1941661040 -11 15 04.831967484;7.251;5.752;nan
HD 56405;07 16 14.5526564520 -15 35 08.486158380;5.519;5.447;nan
HD 55344;07 11 41.6047750416 -20 52 59.019578364;5.784;5.825;nan
HD 55762;07 13 24.0250266288 -22 40 27.269874372;7.456;5.96;nan
* 145 CMa;07 16 36.8345570496 -23 18 56.138269860;6.5;4.79;3.47
HD 56578;07 16 38.3560900512 -23 18 39.427617168;6.21;5.79;nan
* del CMa;07 08 23.4840514 -26 23 35.518484;2.52;1.84;1.33
V* LZ CMa;07 09 43.0236591312 -25 13 51.720958452;5.53;5.69;nan
* 26 CMa;07 12 12.2147085456 -25 56 33.316082736;5.736;5.897;nan
* ome CMa;07 14 48.6538664 -26 46 21.609714;3.64;3.82;3.8
* 29 CMa;07 18 40.3789353696 -24 33 31.318248528;4.8;4.95;4.95
* tau CMa;07 18 42.4864191 -24 57 15.741299;4.25;4.4;4.44
* 27 CMa;07 14 15.2119175 -26 21 09.031206;4.45;4.65;4.64
HD 56160;07 14 51.1612101384 -27 02 16.782659232;6.823;5.582;nan
HD 55070;07 10 19.3207717608 -27 29 29.468963904;6.441;5.448;nan
HD 56618;07 16 34.9928126880 -27 52 52.244563692;6.24;4.64;3.16
NAME CMa Dwarf Galaxy;07 12 36.0 -27 40 00;nan;-0.1;nan
HD 56342;07 15 21.0681331056 -30 41 11.217833988;5.182;5.337;nan
Cl Collinder 132;07 13 56.4 -30 45 29;nan;3.6;nan
HD 55718;07 12 25.82296 -36 32 39.7835;5.83;5.97;nan
HD 56779;07 16 49.4082241536 -36 35 33.478464732;4.849;5.009;nan
* ups01 Pup;07 18 18.3933493 -36 44 02.232922;4.57;4.67;4.57
* ups02 Pup;07 18 38.1853955232 -36 44 33.854932104;4.95;5.11;5.17
Cl Collinder 135;07 17 26.9 -37 02 38;2.69;2.1;nan
* pi. Pup;07 17 08.55678 -37 05 50.8962;4.32;2.7;1.46
* A Pup;07 08 51.0682638 -39 39 20.357948;4.65;4.83;4.9
HD 56733;07 16 31.8498254424 -38 19 08.120651916;5.657;5.797;nan
* F Pup;07 18 33.5125134936 -39 12 37.023109992;5.261;5.243;nan
* E Pup;07 12 15.8070021456 -40 29 55.755380940;5.38;5.31;nan
HD 56410;07 14 57.1530985824 -41 25 35.021185104;5.79;5.942;nan
* 66 Aur;07 24 08.4675588912 +40 40 20.599881492;6.434;5.188;nan
* 65 Aur;07 22 02.6176036752 +36 45 38.100968820;6.206;5.12;nan
* rho Gem;07 29 06.71887 +31 47 04.3773;4.5;4.18;3.86
* 64 Gem;07 29 20.4408416688 +28 07 05.794678236;5.181;5.064;nan
* b Gem;07 29 48.7619004480 +27 54 58.033303380;6.123;5.01;nan
* iot Gem;07 25 43.5953160 +27 47 53.092849;4.83;3.79;3.02
* 59 Gem;07 24 33.4531218504 +27 38 16.281508164;6.11;5.759;nan
* 57 Gem;07 23 28.5112982760 +25 03 01.912620384;5.933;5.022;nan
* del Gem;07 20 07.3745658105 +21 58 56.294578663;3.87;3.53;3.17
* 63 Gem;07 27 44.3573297448 +21 26 43.004490108;5.62;5.24;nan
* 56 Gem;07 21 56.8617906336 +20 26 37.169276928;6.63;5.08;nan
* 61 Gem;07 26 56.3284417224 +20 15 27.197178912;6.236;5.935;nan
* 6 CMi;07 29 47.7817252 +12 00 23.634733;5.812;4.531;nan
* 1 CMi;07 24 58.1800202736 +11 40 10.282487304;5.461;5.361;nan
* eps CMi;07 25 38.8996839840 +09 16 33.925520604;5.99;4.986;nan
* gam CMi;07 28 09.7942869528 +08 55 31.888128216;5.73;4.3;3.19
* bet CMi;07 27 09.0417373 +08 17 21.536745;2.8;2.89;2.9
HD 57006;07 19 47.6453421912 +07 08 34.611898560;6.429;5.91;nan
* eta CMi;07 28 02.0748456576 +06 56 31.094187504;5.45;5.22;nan
HD 56989;07 19 22.3744027416 +02 44 26.433851424;6.948;5.887;nan
HD 57608;07 22 03.4786871760 +00 10 37.637998896;5.897;5.971;nan
HD 59311;07 29 18.6680646240 -01 54 19.171482948;7.072;5.572;nan
HD 57749;07 22 25.3899278880 -05 58 58.184091120;6.166;5.816;nan
HD 58526;07 25 51.1999347000 -05 46 29.862957504;6.895;5.962;nan
HD 59380;07 29 25.6609863875 -07 33 04.450065996;6.327;5.853;nan
HD 59381;07 29 22.1075281680 -10 19 36.000227748;7.311;5.706;nan
BD-11 1951;07 27 51.66072 -11 33 24.7075;6.406;5.868;nan
HD 57478;07 20 58.2849964992 -14 21 37.764717732;6.544;5.584;nan
HD 58461;07 25 08.3153856744 -13 45 07.117163244;6.2;5.78;nan
V* R CMa;07 19 28.1785241208 -16 23 42.895279824;6.05;5.7;nan
HD 58954;07 27 07.9899122714 -17 51 53.509236231;5.92;5.62;nan
HD 58343;07 24 40.1873324160 -16 12 05.302248804;5.15;5.19;5.05
HD 57821;07 22 13.5290106 -19 00 59.764599;4.893;4.95;nan
HD 59136;07 27 42.9367354488 -22 51 33.085990656;5.86;5.97;nan
HD 59612;07 29 51.4122982920 -23 01 27.444741492;5.1;4.86;4.58
HD 58978;07 26 59.4826856664 -23 05 09.689679528;5.45;5.56;7.05
HD 57146;07 18 51.2737383648 -26 35 09.081112236;6.258;5.288;nan
HD 58612;07 25 25.2677568912 -25 13 03.954312840;5.671;5.782;nan
V* MZ CMa;07 21 04.3320754008 -25 53 29.921713404;7.475;5.886;nan
V* HQ CMa;07 20 54.9153770208 -26 57 49.812490368;5.816;5.986;nan
HD 58215;07 23 28.9926186576 -27 50 03.461397576;6.89;5.356;nan
HD 58155;07 23 00.6973567920 -31 55 25.602435120;5.28;5.43;nan
HD 58535;07 24 43.8541565621 -31 48 32.057079848;6.358;5.28;nan
HD 59550;07 29 04.9147536024 -31 27 22.384517904;5.585;5.768;nan
HD 59256;07 27 59.1598818816 -29 09 21.235356792;5.492;5.542;nan
* eta CMa;07 24 05.70228 -29 18 11.1798;2.37;2.45;2.38
HD 58286;07 23 31.8950856528 -32 12 07.436095704;5.21;5.39;nan
HD 59026;07 26 42.4656369864 -34 08 26.499461784;5.73;5.884;nan
CD-31 4590;07 28 51.15322 -31 50 54.2526;5.78;5.94;nan
* y Pup;07 29 05.6951953008 -38 48 43.442359164;5.243;5.395;nan
HD 61294;07 40 14.6930840928 +38 20 40.347143196;7.36;5.73;nan
* 70 Gem;07 38 32.8639164696 +35 02 54.779445240;6.501;5.572;nan
* omi Gem;07 39 09.9346623336 +34 35 03.502791096;5.3;4.9;4.51
* alf Gem;07 34 35.87319 +31 53 17.8160;1.62;1.58;1.51
* alf Gem A;07 34 35.862828 +31 53 17.79429;nan;1.9;nan
* alf Gem B;07 34 36.100452 +31 53 18.57117;nan;3;nan
HD 60318;07 35 08.8032282360 +30 57 39.304643436;6.366;5.347;nan
* ups Gem;07 35 55.3500141720 +26 53 44.680194960;5.6;4.06;2.82
HD 61603;07 40 58.5185843832 +23 01 06.703077972;7.458;5.906;nan
HD 59686;07 31 48.4045109592 +17 05 09.764723724;6.574;5.442;nan
* f Gem;07 39 28.5933680280 +17 40 28.278616584;6.61;5.05;nan
* 68 Gem;07 33 36.4815791 +15 49 35.978923;5.31;5.263;nan
HD 60803;07 36 34.7058306168 +05 51 43.818971508;6.479;5.888;nan
* alf CMi;07 39 18.11950 +05 13 29.9552;0.79;0.37;-0.05
* del02 CMi;07 33 11.6657432976 +03 17 25.365062508;5.895;5.571;nan
* del03 CMi;07 34 15.8926031424 +03 22 18.207554880;5.789;5.817;nan
* del01 CMi;07 32 05.9488273416 +01 54 52.126832700;5.448;5.233;nan
* 25 Mon;07 37 16.6910262168 -04 06 39.533872608;5.57;5.131;nan
V* U Mon;07 30 47.4711645432 -09 46 36.757477488;7;5.82;nan
* alf Mon;07 41 14.8325688 -09 33 04.071083;4.95;3.93;3.16
HD 59984;07 32 05.7629164512 -08 52 52.775251032;6.431;5.916;nan
* 140 Pup;07 40 23.2104428256 -15 15 50.110710444;6.503;4.951;nan
V* KQ Pup;07 33 47.9667844248 -14 31 26.054356260;6.38;4.97;3.41
HD 60855;07 36 03.8931067344 -14 29 33.978895368;5.58;5.7;5.72
HD 60341;07 33 19.5646164336 -19 24 45.092391408;6.765;5.63;nan
V* PT Pup;07 36 41.0352383592 -19 42 08.425020168;5.524;5.699;nan
HD 61774;07 40 13.5286102056 -19 39 39.096410976;7.074;5.921;nan
HD 60532;07 34 03.1805638968 -22 17 45.843172440;4.94;4.39;nan
HD 60345;07 33 09.7759152384 -24 42 38.643307200;5.98;5.83;nan
* m Pup;07 38 18.0458562428 -25 21 53.300773235;4.58;4.67;nan
* n Pup B;07 34 19.2571325568 -23 28 29.630454852;6.248;5.795;6.57
* n Pup A;07 34 18.6176573688 -23 28 25.192762896;6.2;5.77;6.55
* n Pup;07 34 18.61666 -23 28 25.1940;5.52;5.09;nan
HD 60666;07 34 34.7947496856 -27 00 44.190603936;6.807;5.77;nan
* k01 Pup;07 38 49.3751428464 -26 48 06.324538176;4.33;4.5;nan
* k02 Pup;07 38 49.8707332608 -26 48 13.849787556;4.26;4.429;nan
* p Pup;07 35 22.8916201248 -28 22 09.605230968;4.52;4.63;nan
HD 59890;07 30 42.6019759200 -30 57 44.209928016;5.58;4.65;3.98
* f Pup;07 37 22.10978 -34 58 06.7109;4.44;4.53;4.55
* z Pup;07 33 51.0415389912 -36 20 18.212736408;5.37;5.44;5.33
* e Pup;07 38 43.8986356728 -36 29 48.598167516;5.64;5.8;nan
* d04 Pup;07 39 57.9910948536 -37 34 45.927401196;5.944;5.996;nan
* d02 Pup;07 39 43.8155696712 -38 08 21.473167920;5.62;5.77;nan
* d03 Pup;07 39 47.8749200736 -38 15 38.348382060;5.667;5.747;nan
* d01 Pup;07 39 27.3386401968 -38 18 28.884430663;4.65;4.84;4.92
V* DU Lyn;07 46 39.2803879296 +37 31 02.622798768;6.76;5.18;nan
* pi. Gem;07 47 30.3238244376 +33 24 56.508708672;6.74;5.14;nan
* sig Gem;07 43 18.7269793 +28 53 00.642191;5.41;4.29;3.37
* c Gem;07 44 06.9149708736 +25 47 02.976443160;6.829;5.289;nan
* bet Gem;07 45 18.94987 +28 01 34.3160;2.14;1.14;0.39
* kap Gem;07 44 26.8535692 +24 23 52.787227;4.49;3.57;2.86
* g Gem;07 46 07.4484186384 +18 30 35.993172960;6.33;4.87;3.72
HD 61885;07 41 51.8463135120 +13 28 49.641804696;7.46;5.8;nan
V* NZ Gem;07 42 03.2180829960 +14 12 30.622309884;7.2;5.56;3.96
* 11 CMi;07 46 16.2012354264 +10 46 05.706137856;5.247;5.237;nan
HD 61887;07 41 35.1550370520 +03 37 29.204863788;5.905;5.942;nan
* zet CMi;07 51 41.9887267800 +01 46 00.726461076;5.03;5.16;5.18
HD 62902;07 46 02.1905091192 -06 46 21.051193224;6.888;5.496;nan
HD 63752;07 50 10.5764471832 -09 11 00.390967872;7.051;5.598;nan
* 9 Pup A;07 51 46.307556 -13 53 52.83537;6.22;5.61;nan
* 2 Pup A;07 45 29.1352793904 -14 41 25.925009208;6.045;5.997;nan
* 10 Pup;07 52 18.8789126688 -14 50 46.240541988;6.056;5.689;7.01
* 4 Pup;07 45 56.8695645744 -14 33 49.698704304;5.342;5.026;nan
* 6 Pup;07 49 41.2014260640 -17 13 42.270476016;6.462;5.162;nan
HD 64152;07 51 43.0248909216 -21 10 25.176344988;6.569;5.607;nan
HD 63271;07 47 12.5542841784 -22 31 10.235001252;5.68;5.87;nan
V* V390 Pup;07 44 34.1696593944 -24 40 26.686528896;5.43;5.6;nan
* 188 Pup;07 49 01.6737253704 -24 54 44.089717860;6.056;5.313;nan
* ksi Pup;07 49 17.6556658 -24 51 35.230469;4.56;3.3;2.43
HD 62412;07 42 48.1523787648 -26 21 04.775421528;6.615;5.628;nan
* omi Pup;07 48 05.1683937 -25 56 13.812276;4.43;4.49;4.37
* l Pup;07 43 48.4687222 -28 57 17.372015;4.09;3.93;3.68
* 1 Pup;07 43 32.3866853568 -28 24 39.188693988;6.22;4.59;3.29
HD 63852;07 49 35.4015495600 -33 17 20.221382688;7.193;5.585;nan
V* V397 Pup;07 49 14.6494793760 -35 14 35.830510764;5.886;5.936;nan
HD 62578;07 43 11.9831906160 -36 03 00.323891640;5.45;5.585;nan
HD 62781;07 44 09.6862989024 -36 03 45.019095156;6.097;5.784;nan
* 171 Pup;07 45 34.9212542040 -34 10 21.185626324;5.909;5.362;nan
HD 62226;07 41 15.8125770360 -38 32 00.719252124;5.254;5.393;nan
HD 62893;07 44 34.1830281624 -37 56 34.510493904;5.759;5.87;nan
HD 63215;07 46 10.5442184088 -37 56 01.239555912;5.755;5.869;nan
HD 63465;07 47 24.9925592232 -38 30 40.110462576;4.952;5.068;nan
* c Pup;07 45 15.2964161 -37 58 06.899807;5.34;3.61;2.26
NGC 2477;07 52 11.0 -38 32 13;6.64;5.8;nan
* W Pup;07 43 41.9290262736 -40 56 01.487218812;6.27;5.17;nan
* a Pup;07 52 13.0318512432 -40 34 32.814235704;4.717;3.696;nan
* chi Gem;08 03 31.0996953168 +27 47 39.662925504;6.075;4.937;nan
* phi Gem;07 53 29.8081586208 +26 45 56.813063004;5.06;4.963;nan
* ome Cnc;08 00 55.8729329136 +25 23 34.214601984;6.881;5.853;nan
* 85 Gem;07 55 39.8944472784 +19 53 02.281229304;5.329;5.365;nan
* 3 Cnc;08 00 47.3075512008 +17 18 31.321989432;6.904;5.588;nan
* 5 Cnc;08 01 30.2883310488 +16 27 19.119723156;5.97;5.99;nan
* 1 Cnc;07 56 59.4526407000 +15 47 25.001890224;7.06;5.78;nan
HD 64685;07 55 31.4332576416 +08 51 46.221276744;6.21;5.8;nan
HD 65900;08 01 13.8982828104 +04 52 47.522137476;5.647;5.64;nan
* G CMi;08 02 15.9369212008 +02 20 04.458846354;5.63;4.38;3.39
* 28 Mon;08 01 13.3357402 -01 23 33.393493;6.147;4.68;nan
* 27 Mon;07 59 44.1530631384 -03 40 46.508411136;6.137;4.934;nan
HD 64235;07 52 47.8591901 -05 25 41.727515;6.161;5.765;nan
HD 65810;07 59 52.0475616144 -18 23 57.180883308;4.69;4.61;4.46
* j Pup;07 56 51.5389962 -22 52 48.433986;4.9;4.184;nan
* 12 Pup;07 59 05.7150298248 -23 18 37.427521392;6.23;5.11;nan
HD 66598;08 03 04.1607321048 -32 27 48.776832144;7.049;5.808;nan
* chi Pup;07 57 40.1062661136 -30 20 04.456472208;4.94;4.79;4.59
HD 64572;07 53 03.5066361288 -36 21 49.565546784;6.577;5.418;nan
HD 66358;08 01 37.5262110600 -37 17 01.395727476;6.044;5.893;nan
HD 64802;07 54 11.0098192344 -35 52 38.228288340;5.288;5.463;nan
HD 65925;07 59 28.3656952 -39 17 49.007727;5.605;5.224;nan
* zet Pup;08 03 35.04754 -40 00 11.3321;1.98;2.25;2.36
* b Pup;07 52 38.6466250 -38 51 46.130467;4.301;4.474;nan
* 15 Cnc;08 13 08.8680600240 +29 39 23.536760076;5.541;5.605;nan
* mu.01 Cnc;08 06 18.3955343520 +22 38 07.755557640;7.65;5.99;nan
* mu.02 Cnc;08 07 45.8562513552 +21 34 54.526814256;5.93;5.3;nan
* zet01 Cnc A;08 12 12.7204108896 +17 38 51.509311944;5.85;5.31;nan
* 8 Cnc;08 05 04.4890325328 +13 07 05.579445540;5.141;5.136;nan
* zet Mon;08 08 35.6466280 -02 59 01.636060;5.3;4.33;3.6
HD 68312;08 11 33.0044249688 -07 46 21.140491116;6.259;5.354;nan
* 19 Pup;08 11 16.3058502 -12 55 37.195175;5.68;4.72;3.99
* 18 Pup;08 10 39.8256078504 -13 47 57.141934620;6.03;5.54;nan
* 20 Pup;08 13 19.9671571968 -15 47 17.608829604;6.06;4.99;nan
HD 67880;08 09 28.5348181992 -16 14 56.105782368;5.491;5.65;nan
* 16 Pup;08 09 01.6374092 -19 14 42.052059;4.239;4.393;nan
HD 67456;08 07 18.0399962448 -20 33 15.635345400;5.423;5.338;nan
* rho Pup;08 07 32.6488235 -24 18 15.567946;3.24;2.81;2.46
V* MZ Pup;08 04 16.1895113976 -32 40 29.389546632;7.06;5.12;nan
* r Pup;08 13 29.5171968 -35 53 58.266226;4.66;4.77;4.68
HD 69123;08 14 13.2562210824 -35 29 24.067626504;6.802;5.765;nan
HD 69081;08 13 58.3122261504 -36 19 20.206636752;4.875;5.064;nan
* h01 Pup;08 11 21.4934302224 -39 37 06.758795424;6.03;4.42;3.22
* lam Cnc;08 20 32.1363537528 +24 01 20.320136040;5.87;5.93;nan
HD 69994;08 20 20.9719290912 +20 44 51.796340124;6.942;5.798;nan
* d01 Cnc;08 23 21.8428705584 +18 19 55.782453288;6.12;5.94;nan
* bet Cnc;08 16 30.9210081 +09 11 07.957924;5;3.52;2.42
HD 71115;08 25 54.7670593176 +07 33 52.214573088;6.051;5.122;nan
HD 71095;08 25 35.5365132480 +02 06 07.984975356;7.227;5.708;nan
* 1 Hya;08 24 35.0141853312 -03 45 04.472972064;6.07;5.61;nan
* 30 Mon;08 25 39.6320108 -03 54 23.117820;3.88;3.9;3.87
HD 70652;08 22 54.0945547056 -07 32 35.238876072;7.548;5.918;nan
HD 69830;08 18 23.9469682407 -12 37 55.817187530;6.74;5.95;nan
HD 71267;08 25 55.5900555648 -14 55 46.780356504;6.12;5.951;nan
HD 70523;08 21 54.6061873296 -17 35 10.813572276;6.768;5.711;nan
HD 70442;08 21 21.2238900336 -20 04 44.626345680;6.341;5.572;nan
HD 71141;08 24 55.1795792160 -23 09 13.482850248;5.719;5.669;nan
HD 71196;08 25 19.0017429000 -21 02 45.442568220;6.389;5.987;nan
HD 71176;08 25 03.7419547008 -24 02 46.389757776;6.8;5.301;nan
HD 70761;08 22 49.9366633848 -26 20 53.602709604;6.27;5.883;nan
* w Pup;08 21 23.0260290792 -33 03 15.714284652;6.26;4.8;3.83
HD 70002;08 18 17.3952053280 -35 27 06.136410528;6.834;5.578;nan
* q Pup;08 18 33.3129914 -36 39 33.439105;4.68;4.4;4.24
HD 70556;08 21 21.0444005256 -36 29 03.036690528;4.989;5.176;nan
* 33 Lyn;08 34 43.8846446112 +36 25 10.632223776;5.785;5.751;nan
* phi01 Cnc;08 26 27.7060397136 +27 53 36.890321172;6.97;5.57;nan
* ups01 Cnc;08 31 30.5194786872 +24 04 51.987730872;6.003;5.694;nan
* eta Cnc;08 32 42.4962025704 +20 26 28.184067672;6.581;5.325;nan
* tet Cnc;08 31 35.7299602200 +18 05 39.905422656;6.908;5.337;nan
* 29 Cnc;08 28 37.3395160416 +14 12 38.967279264;6.136;5.948;nan
* 27 Cnc;08 26 43.9391779464 +12 39 16.592883912;7.1;5.5;3.88
* c Cnc;08 37 05.7688644504 +09 39 20.081122992;5.992;5.91;nan
HD 72561;08 33 43.4782270320 +04 45 25.198765740;6.94;5.867;nan
HD 72660;08 34 01.6141823952 -02 09 05.600032848;5.797;5.792;nan
* 2 Hya;08 26 27.2082478 -03 59 14.919918;5.809;5.59;nan
* 3 Hya;08 35 28.1987898408 -07 58 56.257821768;5.69;5.72;nan
HD 71766;08 28 51.0026082960 -09 44 54.912433452;6.419;5.989;nan
HD 71377;08 26 41.9527264536 -12 32 04.574948568;6.69;5.52;nan
HD 72310;08 31 30.92390 -19 34 38.8649;5.36;5.43;nan
HD 73072;08 35 28.7010341112 -26 50 36.556113696;6.314;5.944;nan
HD 72227;08 30 28.6109192232 -32 09 33.418716480;7.105;5.588;nan
V* XY Pyx;08 27 59.4214912680 -35 06 49.497193332;5.6;5.74;nan
* 1 LMi;08 38 18.9811480848 +32 48 07.260579288;7.062;5.95;nan
* iot Cnc;08 46 41.8204364520 +28 45 35.615289744;4.996;4.018;nan
[AKS95] 73;08 38 13.13 +20 26 26.7;6.409;5.832;nan
* gam Cnc;08 43 17.1481991 +21 28 06.600793;4.67;4.652;nan
